t;Values
01.12.2009;21,95
17.12.2009;5,7
18.01.2010;18,75
05.03.2010;15,25
23.03.2010;8,5
07.06.2010;7,95
13.10.2010;19,3
12.12.2010;31,3
21.01.2011;8,25
31.03.2011;3,9
17.04.2011;2,1
28.04.2011;15,27
07.07.2011;9,2
