t;Values
01.12.2009;285,06
17.12.2009;391,44
31.01.2010;304,47
07.03.2010;337,74
26.03.2010;286,58
08.04.2010;297,94
16.04.2010;363,12
28.04.2010;305,2
04.05.2010;715,03
09.05.2010;380,7
25.05.2010;321,02
02.06.2010;300,25
10.06.2010;311,26
28.06.2010;308,1
19.07.2010;274
29.07.2010;361,16
19.08.2010;307,46
27.08.2010;303
17.09.2010;797,14
30.09.2010;354,03
18.03.2011;904,26
03.05.2011;797,26
21.06.2011;379,72
13.07.2011;317,4
12.08.2011;860,98
11.09.2011;905,99
